iter	Passed	Remaining
620	4247	2592
621	4253	2585
622	4260	2578
623	4267	2571
624	4274	2564
625	4281	2558
626	4288	2551
627	4295	2544
628	4301	2536
629	4307	2529
630	4314	2523
631	4320	2515
632	4327	2508
633	4333	2501
634	4340	2494
635	4346	2487
636	4352	2480
637	4358	2473
638	4364	2465
639	4371	2458
640	4377	2451
641	4382	2444
642	4389	2437
643	4396	2430
644	4402	2423
645	4410	2416
646	4416	2409
647	4422	2402
648	4429	2395
649	4435	2388
650	4442	2381
651	4449	2374
652	4455	2367
653	4461	2360
654	4469	2354
655	4476	2347
656	4483	2340
657	4490	2333
658	4495	2326
659	4502	2319
660	4509	2312
661	4515	2305
662	4522	2298
663	4528	2291
664	4534	2284
665	4540	2277
666	4547	2270
667	4553	2263
668	4559	2255
669	4565	2248
670	4571	2241
671	4577	2234
672	4583	2227
673	4590	2220
674	4596	2213
675	4603	2206
676	4609	2199
677	4616	2192
678	4622	2185
679	4630	2179
680	4637	2172
681	4644	2165
682	4650	2158
683	4658	2152
684	4665	2145
685	4671	2138
686	4678	2131
687	4685	2124
688	4691	2117
689	4697	2110
690	4704	2103
691	4711	2096
692	4718	2090
693	4724	2083
694	4730	2076
695	4736	2068
696	4743	2062
697	4749	2054
698	4756	2048
699	4762	2040
700	4768	2033
701	4774	2026
702	4780	2019
703	4786	2012
704	4792	2005
705	4798	1998
706	4805	1991
707	4811	1984
708	4817	1977
709	4823	1970
710	4829	1962
711	4837	1956
712	4843	1949
713	4850	1942
714	4862	1938
715	4889	1939
716	4897	1932
717	4905	1926
718	4912	1919
719	4920	1913
720	4927	1906
721	4935	1900
722	4941	1893
723	4949	1886
724	4955	1879
725	4962	1872
726	4969	1865
727	4975	1859
728	4982	1852
729	4989	1845
730	4997	1839
731	5004	1832
732	5013	1826
733	5019	1819
734	5027	1812
735	5033	1805
736	5039	1798
737	5046	1791
738	5052	1784
739	5059	1777
740	5066	1770
741	5076	1765
742	5083	1758
743	5090	1751
744	5097	1744
745	5104	1737
746	5111	1731
747	5117	1724
748	5125	1717
749	5131	1710
750	5139	1703
751	5146	1697
752	5152	1690
753	5159	1683
754	5165	1676
755	5172	1669
756	5178	1662
757	5184	1655
758	5191	1648
759	5197	1641
760	5204	1634
761	5210	1627
762	5216	1620
763	5223	1613
764	5229	1606
765	5237	1599
766	5243	1592
767	5250	1586
768	5257	1579
769	5264	1572
770	5272	1566
771	5279	1559
772	5287	1552
773	5293	1545
